_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL
7195,55010057,2024-06-27T00:00:00,14:50:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,MANGUINHOS,AV. BICANGA,VIA PÚBLICA
7196,55020525,2024-06-27T00:00:00,21:55:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,COLINA DE LARANJEIRAS,AVENIDA DONA TEREZA CRISTINA,VIA PÚBLICA
7197,55027820,2024-06-27T00:00:00,22:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,MARUIPE,AVENIDA MARUIPE,COMÉRCIO
7198,55222160,2024-06-27T00:00:00,13:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA,S/I,TRANSP COLETIVO
7199,55247256,2024-06-27T00:00:00,01:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM CAMBURI,AVENIDA DANTE MICHELINE,VIA PÚBLICA
7200,55257442,2024-06-27T00:00:00,20:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,PRAIA DO SUA,S/I,VIA PÚBLICA
7201,54972559,2024-06-28T00:00:00,06:47:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM RESIDÊNCIA/CONDOMÍNIO,ES,VIANA,UNIVERSAL,RUA NAO INFORMADO,RESIDÊNCIA
7202,54973789,2024-06-28T00:00:00,03:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,MORADA DE SANTA FE,RUA ITAGUACU,VIA PÚBLICA
7203,54974000,2024-06-28T00:00:00,08:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,ORIENTE,S/I,VIA PÚBLICA
7204,54975592,2024-06-28T00:00:00,09:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,SANTA HELENA,AV NOSSA SENHORA PENHA,VIA PÚBLICA
7205,54977441,2024-06-28T00:00:00,00:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VIANA,UNIVERSAL,RUA FORMATE,COMÉRCIO
7206,54978375,2024-06-28T00:00:00,05:51:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,VITORIA,CENTRO,AV. MAL. MASCARENHAS DE MORAES - CENTRO,VEÍCULO
7207,54978380,2024-06-28T00:00:00,05:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,GRANDE VITORIA,RUA,VIA PÚBLICA
7208,54980137,2024-06-28T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,SAO GERALDO,S/I,VEÍCULO
7209,54981276,2024-06-28T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA,BR 101,VEÍCULO
7210,54984071,2024-06-28T00:00:00,19:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CACHOEIRO DE ITAPEMIRIM,AQUIDABAN,RUA ALZIRO VIANA,VIA PÚBLICA
7211,55001812,2024-06-28T00:00:00,20:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,BAIRRO DE FATIMA,AVENIDA JOSE MOREIRA MARTINS RATO,VEÍCULO
7212,55001842,2024-06-28T00:00:00,22:45:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CENTRAL CARAPINA,BR 101,VEÍCULO
7213,55002085,2024-06-28T00:00:00,04:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VIANA,EL DOURADO,CASA,RODOVIA ESTADUAL
7214,55002118,2024-06-28T00:00:00,06:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,VILA RUBIM,AVENIDA DUARTE LEMOS,OUTRO LOCAL
7215,55002491,2024-06-28T00:00:00,05:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM DA PENHA,AVENIDA ANÍSIO FERNANDES COELHO,VIA PÚBLICA
7216,55003028,2024-06-28T00:00:00,18:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM DA PENHA,AVENIDA ANISIO FERNANDES COELHO,OUTRO LOCAL
7217,55005608,2024-06-28T00:00:00,18:50:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,NOVA CANAA,S/I,VIA PÚBLICA
7218,55005700,2024-06-28T00:00:00,17:50:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,CENTRO,S/I,VIA PÚBLICA
7219,55006060,2024-06-28T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,CENTRO VILA VELHA,S/I,VIA PÚBLICA
7220,55009921,2024-06-28T00:00:00,17:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM DA PENHA,S/I,VIA PÚBLICA
7221,55010328,2024-06-28T00:00:00,20:38:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,MANOEL PLAZA,S/I,VEÍCULO
7222,55018490,2024-06-28T00:00:00,18:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,ITAPOA,AV JAIR ANDRADE,VIA PÚBLICA
7223,55020946,2024-06-28T00:00:00,20:50:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,JARDIM LIMOEIRO,AV. DESEMBARGADOR MARIO DA SILVA NUNES,VEÍCULO
7224,55020958,2024-06-28T00:00:00,20:50:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,SAO DIOGO I,RODOVIA NORTE SUL,VEÍCULO
7225,55020977,2024-06-28T00:00:00,21:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,VILA NOVA DE COLARES,S/I,OUTRO LOCAL
7226,54985149,2024-06-29T00:00:00,05:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VIANA,AREINHA,AV GUARAPARI,VIA PÚBLICA
7227,54985571,2024-06-29T00:00:00,04:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,NOVA CAMPO GRANDE,"RUA PRINCESA ISABEL, S/N",VIA PÚBLICA
7228,54986356,2024-06-29T00:00:00,14:53:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,IUNA,QUILOMBO,RUA NAO CADASTRADA,VIA PÚBLICA
7229,54988343,2024-06-29T00:00:00,18:42:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,JAGUARE,SEAC,RUA ALEGRE,VIA PÚBLICA
7230,54989896,2024-06-29T00:00:00,19:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA,BR 101,OUTRO LOCAL
7231,54995003,2024-06-29T00:00:00,01:15:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,GURIGICA,RUA MARIA DA PAIXAO SANTOS,VIA PÚBLICA
7232,54996657,2024-06-29T00:00:00,19:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,RIVIERA DA BARRA,PASSARELA NA RODOVIA DO SOL,VIA PÚBLICA
7233,55001487,2024-06-29T00:00:00,16:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,BICANGA,S/I,VIA PÚBLICA
7234,55001740,2024-06-29T00:00:00,05:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM DA PENHA,JAHIRA SANTOS RODRIGUES,VIA PÚBLICA
7235,55001753,2024-06-29T00:00:00,05:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM DA PENHA,"RUA JAHIRA SANTOS RODRIGUES, 114",VIA PÚBLICA
7236,55001884,2024-06-29T00:00:00,11:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA I,S/I,VEÍCULO
7237,55002102,2024-06-29T00:00:00,01:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,GURIGICA,RUA MARIA DA PAIXÃO SANTOS,VIA PÚBLICA
7238,55002405,2024-06-29T00:00:00,09:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,JARDIM BELA VISTA,S/I,VIA PÚBLICA
7239,55004060,2024-06-29T00:00:00,10:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA,S/I,OUTRO LOCAL
7240,55005228,2024-06-29T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,JARDIM CARAPINA,S/I,VIA PÚBLICA
7241,55009661,2024-06-29T00:00:00,21:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,VILA NOVA DE COLARES,S/I,VIA PÚBLICA
7242,55009946,2024-06-29T00:00:00,04:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,SAO PATRICIO,RUA SAO PAULO,VIA PÚBLICA
7243,55012660,2024-06-29T00:00:00,22:45:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,JARDIM LIMOEIRO,S/I,VEÍCULO
7244,55012733,2024-06-29T00:00:00,11:03:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA,"AVENIDA PRESIDENTE CASTELO BRANCO, BR101- CARAPINA",VEÍCULO
7245,55018629,2024-06-29T00:00:00,19:23:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,ROSARIO DE FATIMA,S/I,VIA PÚBLICA
7246,55018649,2024-06-29T00:00:00,15:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA I,S/I,VEÍCULO
7247,55018943,2024-06-29T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,JARDIM LIMOEIRO,S/I,VIA PÚBLICA
7248,55021109,2024-06-29T00:00:00,05:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,JARDIM LIMOEIRO,S/I,OUTRO LOCAL
7249,55021741,2024-06-29T00:00:00,19:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,JARDIM LIMOEIRO,S/I,VEÍCULO
7250,55024104,2024-06-29T00:00:00,22:15:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,COLATINA,CENTRO,RUA ALEXANDRE CALMON,VEÍCULO
7251,55030216,2024-06-29T00:00:00,23:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,GRANDE VITORIA,S/I,VIA PÚBLICA
7252,55040355,2024-06-29T00:00:00,00:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,VALPARAISO,AV. PIÚMA,VIA PÚBLICA
7253,55066440,2024-06-29T00:00:00,15:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,PRAIA DA COSTA,RUA PRINCIPAL,COMÉRCIO
7254,55083343,2024-06-29T00:00:00,00:31:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,MANOEL PLAZA,RUA EDISON POMPERMAYER,VIA PÚBLICA
7255,55144323,2024-06-29T00:00:00,22:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,ILHA DO PRINCIPE,AV :ALEXANDRE BUAIZ,VIA PÚBLICA
7256,54991754,2024-06-30T00:00:00,00:50:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GOVERNADOR LINDENBERG,CENTRO,RUA FLORENCIO JULIO,VIA PÚBLICA
7257,54992990,2024-06-30T00:00:00,06:29:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,VILA CAPIXABA,RUA GUARAPARI,VIA PÚBLICA
7258,54993166,2024-06-30T00:00:00,07:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,JARDIM LIMOEIRO,AV DES MARIO DA SILVA NUNES,VEÍCULO
7259,54993342,2024-06-30T00:00:00,02:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,CRUZEIRO DO SUL,S/I,VIA PÚBLICA
7260,54995936,2024-06-30T00:00:00,14:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA,ROD BR 101,VEÍCULO
7261,54996017,2024-06-30T00:00:00,03:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,MARIO CYPRESTE,AVENIDA SANTO ANTONIO,VIA PÚBLICA
7262,54996054,2024-06-30T00:00:00,15:06:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GUARAPARI,CENTRO,NÃO INFORMADO.,VIA PÚBLICA
7263,54996405,2024-06-30T00:00:00,15:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GUARAPARI,CENTRO,NA PRAIA DA FONTE,VIA PÚBLICA
7264,54996649,2024-06-30T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,JOSE DE ANCHIETA,S/I,VIA PÚBLICA
7265,54998145,2024-06-30T00:00:00,18:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CENTRAL CARAPINA,ROD BR 101,VEÍCULO
7266,54999131,2024-06-30T00:00:00,16:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM CAMBURI,AV DANTE MICHELINE,VIA PÚBLICA
7267,54999432,2024-06-30T00:00:00,22:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,TABAJARA,AV GOVERNADOR JOSÉ SETE,VIA PÚBLICA
7268,54999582,2024-06-30T00:00:00,21:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,RIO BRANCO,BR 262,VIA PÚBLICA
7269,55000930,2024-06-30T00:00:00,15:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,RESISTENCIA,RUA SÃO SEBASTIÃO,VIA PÚBLICA
7270,55001179,2024-06-30T00:00:00,04:41:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM DA PENHA,AVENIDA DANTE MICHELINI,OUTRO LOCAL
7271,55001618,2024-06-30T00:00:00,19:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,PARQUE RESIDENCIAL LARANJEIRAS,AV. ELDES SCHERRER SOUZA,HOSPITAL
7272,55002141,2024-06-30T00:00:00,00:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,CENTRO,S/I,VIA PÚBLICA
7273,55002146,2024-06-30T00:00:00,08:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,SAO JOSE,ALAMEDA DA AMIZADE,VIA PÚBLICA
7274,55002159,2024-06-30T00:00:00,01:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,CENTRO,S/I,OUTRO LOCAL
7275,55002169,2024-06-30T00:00:00,00:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,CENTRO,S/I,VIA PÚBLICA
7276,55003667,2024-06-30T00:00:00,04:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,ARIBIRI,R. EMIDYO FERREIRA SACRAMENTO,VIA PÚBLICA
7277,55004049,2024-06-30T00:00:00,18:12:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA GRANDE,S/I,VEÍCULO
7278,55004237,2024-06-30T00:00:00,21:25:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,BELA AURORA,S/I,OUTRO LOCAL
7279,55004785,2024-06-30T00:00:00,06:07:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,CIDADE POMAR,S/I,VIA PÚBLICA
7280,55006260,2024-06-30T00:00:00,20:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,SANTA RITA,TREVO DE CATUABA,VIA PÚBLICA
7281,55010121,2024-06-30T00:00:00,22:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DE ITAPARICA,AVENIDA ANTONIO DE ALMEIDA FILHO,VIA PÚBLICA
7282,55010356,2024-06-30T00:00:00,12:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,MANGUINHOS,S/I,VIA PÚBLICA
7283,55010584,2024-06-30T00:00:00,21:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,ENSEADA DO SUA,AV. AMÉRICO BUAIZ,VIA PÚBLICA
7284,55010657,2024-06-30T00:00:00,20:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,ENSEADA DO SUA,"AVENIDA NOSSA SENHORA DOS NAVEGANTES,",VIA PÚBLICA
7285,55011019,2024-06-30T00:00:00,06:25:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,ALTEROSAS,AV CURITIBA,VIA PÚBLICA
7286,55011046,2024-06-30T00:00:00,21:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,PARQUE JACARAIPE,S/I,VIA PÚBLICA
7287,55012555,2024-06-30T00:00:00,22:03:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,PITANGA,"BR-101 - ENTRADA PARA O BAIRRO PITANGA, SERRA - ES",VEÍCULO
7288,55015564,2024-06-30T00:00:00,05:15:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,NOVO HORIZONTE,S/I,VEÍCULO
7289,55015631,2024-06-30T00:00:00,05:15:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,SAO GERALDO,S/I,VEÍCULO
7290,55019847,2024-06-30T00:00:00,07:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,SAO TORQUATO,RUA LEOPOLDINA,VIA PÚBLICA
7291,55021187,2024-06-30T00:00:00,05:08:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,SAO GERALDO,AV CARAPEBUS,VEÍCULO
7292,55021923,2024-06-30T00:00:00,06:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,ALTEROSAS,PONTO DE ÔNIBUS,OUTRO LOCAL
7293,55028190,2024-06-30T00:00:00,15:50:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,JARDIM DA PENHA,PRAÇA PHILOGOMIRO LNNES,COMÉRCIO
7294,55050848,2024-06-30T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA GRANDE,PROXIMO AO TERMINAL DA CARAPINA,VEÍCULO
7295,55066670,2024-06-30T00:00:00,19:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,ROSARIO DE FATIMA,ROD. 101,VEÍCULO
7296,55068143,2024-06-30T00:00:00,18:14:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,PORTO DE SANTANA,ORLA DE CARIACICA,VIA PÚBLICA
7297,55127587,2024-06-30T00:00:00,06:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,CAMPO GRANDE,S/I,VIA PÚBLICA
